STATION,DATE,LATITUDE,LONGITUDE,AIR_TEMP,SEA_SURF_TEMP
6584,1864-01-17T16:00:00,26.83,-69,65.5,73.6
62030785,1864-01-17T17:00:00,27.5,-68.5,74.1,73.6
6584,1864-01-17T18:00:00,26.65,-69,65.5,73.6
6584,1864-01-17T20:00:00,26.38,-69.12,64.8,73.6
62030785,1864-01-17T21:00:00,26.5,-69.5,73.8,73.6
6584,1864-01-17T22:00:00,26.1,-69.22,65.1,73.6
6584,1864-01-18T00:00:00,25.83,-69.33,65.3,73.6
62030785,1864-01-18T01:00:00,26.5,-69.5,72.9,73.6
62030785,1864-01-18T05:00:00,25.5,-69.5,73.6,73.6
6584,1864-01-18T06:00:00,25.08,-69.62,64.4,72.5
6584,1864-01-18T08:00:00,24.83,-69.72,64.4,71.8
6584,1864-01-18T09:00:00,24.75,-69.78,,75.4
62030785,1864-01-18T09:00:00,25.5,-69.5,72.5,
6584,1864-01-18T10:00:00,24.67,-69.85,,74.7
6584,1864-01-18T12:00:00,24.48,-70,,74.7
62030785,1864-01-18T13:00:00,24.5,-69.5,72.5,71.8
6584,1864-01-18T14:00:00,24.32,-70.13,,74.7
6584,1864-01-18T15:00:00,24.23,-70.2,,73.6
6584,1864-01-18T16:00:00,24.15,-70.27,,73.6
62030785,1864-01-18T17:00:00,24.5,-69.5,,74.7
6584,1864-01-18T18:00:00,24,-70.4,,73.6
6584,1864-01-18T20:00:00,23.83,-70.53,,73.6
62030785,1864-01-18T21:00:00,24.5,-70.5,,73.6
6584,1864-01-18T22:00:00,23.67,-70.67,,73.6
6584,1864-01-19T00:00:00,23.5,-70.82,,73.6
62030785,1864-01-19T01:00:00,23.5,-70.5,,73.6
6584,1864-01-19T02:00:00,23.33,-71.02,,71.4
6584,1864-01-19T04:00:00,23.17,-71.22,,71.4
62030785,1864-01-19T05:00:00,23.5,-70.5,,73.6
6584,1864-01-19T09:00:00,22.73,-71.67,,75.9
62030785,1864-01-19T09:00:00,23.5,-71.5,,71.4
6584,1864-01-19T10:00:00,22.63,-71.7,,75.9
6584,1864-01-19T12:00:00,22.43,-71.75,,75.9
62030785,1864-01-19T13:00:00,22.5,-71.5,,
6584,1864-01-19T14:00:00,22.3,-71.8,,74.7
6584,1864-01-19T15:00:00,22.23,-71.82,,74.7
62030785,1864-01-19T17:00:00,22.5,-71.5,,75.9
62030785,1864-01-19T21:00:00,22.5,-71.5,,
6584,1864-01-19T22:00:00,21.75,-71.98,,74.7
6584,1864-01-20T00:00:00,21.62,-72.03,,77
62030785,1864-01-20T01:00:00,21.5,-71.5,,
62030785,1864-01-20T05:00:00,21.5,-72.5,,77
6584,1864-01-20T06:00:00,20.97,-72.72,,77
62030785,1864-01-20T09:00:00,21.5,-72.5,,
6584,1864-01-20T12:00:00,20.32,-73.4,,77
62030785,1864-01-20T13:00:00,20.5,-72.5,,
62030785,1864-01-20T17:00:00,20.5,-73.5,,77
6584,1864-01-20T18:00:00,19.82,-74.28,,77
62030785,1864-01-20T21:00:00,19.5,-73.5,,
62030785,1864-01-21T01:00:00,19.5,-74.5,,
6584,1864-01-21T02:00:00,19.37,-75.37,,77
6584,1864-01-21T09:00:00,19.45,-76.07,,79.2
6584,1864-01-21T14:00:00,19.5,-76.57,,79.2
6584,1864-01-21T16:00:00,19.52,-76.75,,80.4
6584,1864-01-21T22:00:00,19.53,-77.33,,80.4
6584,1864-01-22T00:00:00,19.53,-77.52,,80.4
6584,1864-01-22T02:00:00,19.53,-77.63,,79.2
6584,1864-01-22T09:00:00,19.55,-78,,79.2
6584,1864-01-22T15:00:00,19.53,-78.42,,79.2
6584,1864-01-22T22:00:00,19.47,-78.92,,79.2
6584,1864-01-23T02:00:00,19.42,-79.3,,79.2
6584,1864-01-23T04:00:00,19.38,-79.53,,78.1
6584,1864-01-23T08:00:00,19.32,-79.98,,78.1
6584,1864-01-23T09:00:00,19.3,-80.1,,79.2
6584,1864-01-23T15:00:00,19.13,-80.57,,79.2
6584,1864-01-23T22:00:00,18.83,-80.85,,79.2
